Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8544105,20231213195144.949000000,20231213125144.949000000,1702497104949,1.010250E+4,3.459244E-17,8.034650E-16,1.016013E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544111,20231213195212.802999999,20231213125212.802999999,1702497132803,3.420220E+3,9.440749E-17,2.513290E-16,1.419845E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544112,20231213195215.371999999,20231213125215.371999999,1702497135372,8.827940E+3,8.373366E-18,1.485070E-16,6.331967E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8544117,20231213195244.398000000,20231213125244.398000000,1702497164398,9.186860E+3,1.791159E-17,3.440300E-16,8.158619E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544120,20231213195254.393000000,20231213125254.393000000,1702497174393,1.163810E+4,8.256070E-18,2.544870E-16,6.302262E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8544123,20231213195256.668999999,20231213125256.668999999,1702497176669,2.058690E+3,3.235194E-16,3.120400E-16,2.140616E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544127,20231213195304.462000000,20231213125304.462000000,1702497184462,1.769350E+4,4.579348E-18,3.260740E-16,5.178133E-8,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544132,20231213195337.347999999,20231213125337.347999999,1702497217348,3.327290E+3,2.540104E-16,6.399720E-16,1.974797E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544134,20231213195345.208000000,20231213125345.208000000,1702497225208,2.105400E+3,2.146153E-16,2.165000E-16,1.866919E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8544139,20231213195400.087999999,20231213125400.087999999,1702497240088,2.192630E+3,9.272860E-14,1.013980E-13,1.411378E-6,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",3," Iron "
8544140,20231213195404.989999999,20231213125404.989999999,1702497244990,7.314040E+3,6.507728E-18,7.922680E-17,5.821682E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
